,positive_bert,negative_bert,neutral_bert
176,0.016475232,0.7708989,0.21262588
177,0.33227944,0.07982972,0.5878908
178,0.73855764,0.015124354,0.24631803
179,0.014372701,0.7029345,0.28269285
180,0.8041077,0.020864356,0.17502785
181,0.98077834,0.0039227,0.015298895
182,0.9444733,0.0057879095,0.04973881
183,0.9784207,0.0026300175,0.01894936
184,0.031859633,0.0385865,0.9295538
185,0.07848167,0.06991727,0.851601
186,0.1850541,0.05506632,0.7598795
187,0.97905946,0.0042007184,0.016739758
188,0.011772688,0.7193556,0.2688717
189,0.08124843,0.5977016,0.32105002
190,0.4800682,0.10225532,0.41767654
191,0.64121675,0.044394847,0.31438836
192,0.4809292,0.037281573,0.48178926
193,0.04138705,0.112227105,0.84638584
194,0.30238867,0.09862986,0.5989815
195,0.8554175,0.014654767,0.12992772
196,0.47953877,0.057654936,0.46280634
197,0.18593211,0.09227563,0.7217922
198,0.10915333,0.103570834,0.7872758
199,0.4267322,0.008938,0.5643298
200,0.10450592,0.15462826,0.7408658
201,0.070430346,0.50674206,0.42282757
202,0.25091913,0.11867643,0.6304044
203,0.6512179,0.07108637,0.27769575
204,0.6512179,0.07108637,0.27769575
205,0.6512179,0.07108637,0.27769575
206,0.41754997,0.07348874,0.50896126
207,0.81715435,0.017550431,0.16529523
208,0.43741062,0.06940186,0.4931875
209,0.51293725,0.079064146,0.40799862
210,0.095716506,0.10557668,0.7987068
211,0.8773721,0.021183288,0.10144466
212,0.35929427,0.24722147,0.3934842
213,0.8824684,0.010758849,0.10677273
214,0.8554175,0.014654767,0.12992772
215,0.6512179,0.07108637,0.27769575
216,0.9784792,0.0037110308,0.017809737
217,0.18984285,0.14397469,0.66618246
218,0.9422912,0.011006052,0.046702772
219,0.9449232,0.011403516,0.043673206
220,0.3986572,0.102030806,0.49931198
221,0.1293035,0.08711887,0.7835776
222,0.058644496,0.008882164,0.9324733
223,0.018770726,0.28800932,0.69322
224,0.14813346,0.043169174,0.80869734
225,0.0191421,0.7647492,0.2161086
226,0.9468409,0.0065053697,0.046653744
227,0.15669765,0.08453916,0.7587632
228,0.1293035,0.08711887,0.7835776
229,0.2239178,0.09344844,0.68263376
230,0.9457188,0.007414704,0.046866495
231,0.9669308,0.008874786,0.024194475
232,0.22552355,0.09361122,0.6808652
233,0.44065994,0.08235369,0.47698638
234,0.21375625,0.1351872,0.6510566
235,0.008656749,0.86477304,0.12657015
236,0.6328514,0.032949433,0.3341991
237,0.16412817,0.057660967,0.7782109
238,0.22552355,0.09361122,0.6808652
239,0.06060943,0.089523494,0.8498671
240,0.22552355,0.09361122,0.6808652
241,0.22552355,0.09361122,0.6808652
242,0.7910786,0.009681448,0.19923995
243,0.4800682,0.10225532,0.41767654
244,0.7606615,0.014715062,0.22462344
245,0.4800682,0.10225532,0.41767654
246,0.4800682,0.10225532,0.41767654
247,0.14648323,0.13201632,0.72150046
248,0.22552355,0.09361122,0.6808652
249,0.10291405,0.18114929,0.7159366
250,0.2919368,0.023221128,0.68484205
251,0.154503,0.32039645,0.5251006
252,0.15999648,0.26457533,0.5754282
253,0.014273779,0.8784567,0.1072695
254,0.23522244,0.33235145,0.4324261
255,0.13377213,0.2107609,0.655467
256,0.11019544,0.052574206,0.8372304
257,0.32181397,0.043421697,0.6347644
258,0.22552355,0.09361122,0.6808652
259,0.22552355,0.09361122,0.6808652
260,0.22552355,0.09361122,0.6808652
261,0.22552355,0.09361122,0.6808652
262,0.1109073,0.021416213,0.8676765
263,0.96145374,0.004621216,0.033924997
264,0.24030453,0.1470528,0.6126427
265,0.030327886,0.043263193,0.92640895
266,0.49002737,0.026687386,0.48328528
