conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
6,5e9de7589dc0406f898722cd,89,424,12,3,"['5e9dea789dc0406f89872547' '5e9de4ec9dc0406f89872255'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de4ce9dc0406f89872253' '5e9dec4e9dc0406f898726cd']"
6,5e9de4ce9dc0406f89872253,52,241,18,4,"['5e9dea789dc0406f89872547' '5e9de4ec9dc0406f89872255'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de7589dc0406f898722cd' '5e9dec4e9dc0406f898726cd']"
6,5e9dec4e9dc0406f898726cd,163,800,11,7,"['5e9dea789dc0406f89872547' '5e9de4ec9dc0406f89872255'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de7589dc0406f898722cd' '5e9de4ce9dc0406f89872253']"
7,5e9de4ec9dc0406f89872255,59,307,8,0,"['5e9dec4e9dc0406f898726cd' '5e9de4ce9dc0406f89872251'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dea789dc0406f89872547']"
7,5e9dec4e9dc0406f898726cd,230,1188,15,11,"['5e9de4ec9dc0406f89872255' '5e9de4ce9dc0406f89872251'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dea789dc0406f89872547']"
7,5e9de4ce9dc0406f89872251,32,159,9,2,"['5e9de4ec9dc0406f89872255' '5e9dec4e9dc0406f898726cd'
 '5e84cfe850f6e364321d63bf' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dea789dc0406f89872547']"
7,5e84cfe850f6e364321d63bf,39,190,8,1,"['5e9de4ec9dc0406f89872255' '5e9dec4e9dc0406f898726cd'
 '5e9de4ce9dc0406f89872251' '5e9de7589dc0406f898722cd'
 '5e9de4ce9dc0406f89872253' '5e9dea789dc0406f89872547']"
7,5e9de7589dc0406f898722cd,116,602,9,18,"['5e9de4ec9dc0406f89872255' '5e9dec4e9dc0406f898726cd'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de4ce9dc0406f89872253' '5e9dea789dc0406f89872547']"
7,5e9de4ce9dc0406f89872253,49,232,15,1,"['5e9de4ec9dc0406f89872255' '5e9dec4e9dc0406f898726cd'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de7589dc0406f898722cd' '5e9dea789dc0406f89872547']"
7,5e9dea789dc0406f89872547,39,190,6,2,"['5e9de4ec9dc0406f89872255' '5e9dec4e9dc0406f898726cd'
 '5e9de4ce9dc0406f89872251' '5e84cfe850f6e364321d63bf'
 '5e9de7589dc0406f898722cd' '5e9de4ce9dc0406f89872253']"
8,5e9f0e1c9dc0406f89874dcd,58,260,5,8,"['5d482eab21c9be351f76415b' '5e9f12229dc0406f898750a9'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f106a9dc0406f89874f9f' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
8,5d482eab21c9be351f76415b,55,258,8,5,"['5e9f0e1c9dc0406f89874dcd' '5e9f12229dc0406f898750a9'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f106a9dc0406f89874f9f' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
8,5e9f12229dc0406f898750a9,108,558,7,3,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f106a9dc0406f89874f9f' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
