id,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,score_easy,time_easy,eff_easy,score_hard,time_hard,eff_hard,chat_easy,chat_hard
TFXd7JkGn4hdXHvft,1,Low,Low,Low,Mixed,Low,4,672.0,159.0,4.226415094339623,850.0,247.0,3.4412955465587043,"{""text"":""Yellow, you satisfied?"",""playerId"":""JcEB29FvKCYX8F3W6"",""at"":""2021-02-26T19:22:00.850Z""}",
MxNNDmoLQ9nmuHhHe,1,Mixed,Low,Low,Mixed,Low,3,633.0,131.0,4.8320610687022905,840.0,182.0,4.615384615384615,,
7QFpsEv5X3PgjWwwK,1,High,High,High,High,High,5,586.0,405.0,1.4469135802469135,909.0,263.0,3.456273764258555,"{""text"":""Looks good."",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:10:57.150Z""},{""text"":""Done'"",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:11:16.270Z""},{""text"":""Why move B to 102?"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:11:20.909Z""},{""text"":""There are no viloations on the left side."",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:11:39.834Z""},{""text"":""But you're missing a lot of points"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:11:46.123Z""},{""text"":""Ok, fix it please."",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:11:54.867Z""},{""text"":""I mean, the goal is to not have violations and maximize points"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:13:52.760Z""},{""text"":""If we have people getting 40 points when it could be 90, we're missing out on points"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:14:12.434Z""},{""text"":""Yes, true and a violation is -100"",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:14:12.487Z""},{""text"":""probably better to just not have violations"",""playerId"":""ZtBet8uas9QhRD95i"",""at"":""2021-03-03T19:14:31.432Z""},{""text"":""Yes there's a lot of shifting for \""C\"" due to the restraints on it"",""playerId"":""xFfSYTNuXsFeotznX"",""at"":""2021-03-03T19:15:08.194Z""},{""text"":""Done"",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:15:26.211Z""},{""text"":""But look"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:15:30.558Z""},{""text"":""A is getting 27  points"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:15:34.602Z""},{""text"":""literally the lowest possible amount for A"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:15:39.277Z""},{""text"":""I'm fine with that."",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:15:47.577Z""},{""text"":""And b went from 97 to 46"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:15:48.375Z""},{""text"":""Fair enough"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:16:10.681Z""}","{""text"":""Oh also just want to point out that if we get the most possible points, we get a bonus of 500"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:17:36.603Z""},{""text"":""That would be great to earn if possible. Hmm."",""playerId"":""xFfSYTNuXsFeotznX"",""at"":""2021-03-03T19:17:51.263Z""},{""text"":""What I'm saying is we shouldn't just go for no violations"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:18:01.855Z""},{""text"":""Because it pays more to get the highest points"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:18:12.021Z""},{""text"":""Looks fine to me."",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:20:14.292Z""},{""text"":""looks good"",""playerId"":""ZtBet8uas9QhRD95i"",""at"":""2021-03-03T19:20:18.797Z""},{""text"":""Looks good so far"",""playerId"":""xFfSYTNuXsFeotznX"",""at"":""2021-03-03T19:20:19.864Z""},{""text"":""This one too complicated to try to maximize"",""playerId"":""6b8bEJCwev7GRvLis"",""at"":""2021-03-03T19:20:28.253Z""},{""text"":""I'm fine with this answer"",""playerId"":""inSwKpMF2bxn7aoMH"",""at"":""2021-03-03T19:20:33.873Z""},{""text"":""true"",""playerId"":""tqaD3PmcyKTLoemLu"",""at"":""2021-03-03T19:20:36.336Z""}"
SEN35wQWLHhBBexSa,1,High,High,Mixed,High,High,3,581.0,141.0,4.120567375886525,894.0,326.0,2.7423312883435584,,"{""text"":""why"",""playerId"":""XwC2RSHTMCwFJ2684"",""at"":""2021-03-03T19:29:30.614Z""},{""text"":""just looking to gain some points"",""playerId"":""EaJmq6QTwQ6C3gfP6"",""at"":""2021-03-03T19:29:55.070Z""},{""text"":""ok"",""playerId"":""XwC2RSHTMCwFJ2684"",""at"":""2021-03-03T19:30:02.321Z""},{""text"":""I'm afraid to move things and not get them back"",""playerId"":""EaJmq6QTwQ6C3gfP6"",""at"":""2021-03-03T19:31:15.617Z""},{""text"":""totally understand"",""playerId"":""XwC2RSHTMCwFJ2684"",""at"":""2021-03-03T19:31:37.005Z""}"
HvApsyAmuMwWyKcux,1,High,High,High,High,High,1,541.0,160.0,3.38125,797.0,284.0,2.806338028169014,,
g4mc5fAPshDRewkJ8,1,High,High,High,Mixed,Low,7,498.0,266.0,1.8721804511278195,739.0,115.0,6.426086956521739,"{""text"":""Quick."",""playerId"":""Tm9TgDYbaJs5BRcXa"",""at"":""2021-03-03T19:18:55.200Z""},{""text"":""I am satisfied"",""playerId"":""qQdDdkxXiJrRBycuj"",""at"":""2021-03-03T19:19:04.700Z""},{""text"":""Good work everyone"",""playerId"":""yzvpy6zkTXHqhEHzC"",""at"":""2021-03-03T19:19:08.573Z""},{""text"":""That was awesome"",""playerId"":""C3vwFnfvAweMKrQxn"",""at"":""2021-03-03T19:19:12.841Z""},{""text"":""yes super"",""playerId"":""qQdDdkxXiJrRBycuj"",""at"":""2021-03-03T19:19:19.798Z""},{""text"":""Very good work!  Stinks we have to wait on blue!"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:19:29.125Z""},{""text"":""Riduculous!"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:19:50.781Z""},{""text"":""That will make these rounds go much longer."",""playerId"":""C3vwFnfvAweMKrQxn"",""at"":""2021-03-03T19:19:56.054Z""},{""text"":""We have to wait alot"",""playerId"":""qQdDdkxXiJrRBycuj"",""at"":""2021-03-03T19:20:14.536Z""},{""text"":""We are gonna be here so much longer.  Really stinks!"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:20:29.150Z""},{""text"":""Have you all done this before?"",""playerId"":""Tm9TgDYbaJs5BRcXa"",""at"":""2021-03-03T19:20:35.366Z""},{""text"":""Me, no."",""playerId"":""Tm9TgDYbaJs5BRcXa"",""at"":""2021-03-03T19:20:44.371Z""},{""text"":""No I have never done this one"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:20:45.015Z""},{""text"":""Also no"",""playerId"":""yzvpy6zkTXHqhEHzC"",""at"":""2021-03-03T19:20:48.001Z""},{""text"":""No this is the first time"",""playerId"":""qQdDdkxXiJrRBycuj"",""at"":""2021-03-03T19:20:50.982Z""},{""text"":""nope"",""playerId"":""ZZgx2tcnHmfBbbuuq"",""at"":""2021-03-03T19:20:56.768Z""},{""text"":""This is a great task - if everyone was playing!"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:21:02.229Z""},{""text"":""I've never done it. And it's really cool except waiting on the blue guy"",""playerId"":""C3vwFnfvAweMKrQxn"",""at"":""2021-03-03T19:21:03.403Z""},{""text"":""Yeah, kind of fun"",""playerId"":""yzvpy6zkTXHqhEHzC"",""at"":""2021-03-03T19:21:17.229Z""},{""text"":""The fast pace made me think everybody else was an expert"",""playerId"":""Tm9TgDYbaJs5BRcXa"",""at"":""2021-03-03T19:21:23.936Z""},{""text"":""It is really fun"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:21:27.592Z""},{""text"":""We are just smart turkers!"",""playerId"":""9m3NqTwzYrya9Bx53"",""at"":""2021-03-03T19:21:38.030Z""},{""text"":""I think everyone was just excited to get started, and were seeing how it worked. We got it this time!"",""playerId"":""C3vwFnfvAweMKrQxn"",""at"":""2021-03-03T19:21:50.736Z""},{""text"":""I agree, green"",""playerId"":""C3vwFnfvAweMKrQxn"",""at"":""2021-03-03T19:22:07.073Z""}","{""text"":""go team"",""playerId"":""ZZgx2tcnHmfBbbuuq"",""at"":""2021-03-03T19:24:06.775Z""},{""text"":""great work"",""playerId"":""2ac4mEQCwuDYCTobG"",""at"":""2021-03-03T19:24:15.340Z""},{""text"":""wow that was quick"",""playerId"":""qQdDdkxXiJrRBycuj"",""at"":""2021-03-03T19:24:19.032Z""},{""text"":""You guys are smoking"",""playerId"":""Tm9TgDYbaJs5BRcXa"",""at"":""2021-03-03T19:24:19.428Z""}"
8Tn58Shn84QLt98gm,1,High,High,High,Mixed,Low,6,434.0,48.0,9.041666666666666,623.0,98.0,6.357142857142857,,
biv6qmjxFHmfqCKDo,1,High,High,High,Low,Mixed,2,621.0,72.0,8.625,738.0,305.0,2.419672131147541,,
HN8EpujSrSBZK8D4k,1,Low,Low,Low,Mixed,Low,5,672.0,142.0,4.732394366197183,872.0,142.0,6.140845070422535,"{""text"":""you guys are really smart"",""playerId"":""XApfLti4Kp76QzSnj"",""at"":""2021-03-03T19:11:14.174Z""},{""text"":"":-)"",""playerId"":""bem97cS9DxH3djLNy"",""at"":""2021-03-03T19:11:26.031Z""},{""text"":""I don't know what I'm doing"",""playerId"":""XApfLti4Kp76QzSnj"",""at"":""2021-03-03T19:11:34.816Z""},{""text"":""I'm satisfied"",""playerId"":""ydmtpB5MMrPa8y2Rk"",""at"":""2021-03-03T19:11:38.754Z""}","{""text"":""I think we just place all the people in the rooms with the most points and then move them based on constraints"",""playerId"":""ydmtpB5MMrPa8y2Rk"",""at"":""2021-03-03T19:13:03.940Z""},{""text"":""sounds good"",""playerId"":""XApfLti4Kp76QzSnj"",""at"":""2021-03-03T19:13:19.234Z""},{""text"":""ok"",""playerId"":""Ygnd7246CCNTstr9Y"",""at"":""2021-03-03T19:13:24.812Z""}"
WvTqeFKEDkCLjF7ff,1,Mixed,Mixed,Mixed,High,Low,2,592.0,323.0,1.8328173374613004,891.0,310.0,2.8741935483870966,,
xJqitLtjA4er5jnEn,1,Low,Mixed,Low,Low,Low,4,569.0,236.0,2.4110169491525424,792.0,394.0,2.010152284263959,,"{""text"":""wow you all are going to drag this out the whole hour aye"",""playerId"":""gY5HYmCHgHBoPfbuG"",""at"":""2021-03-03T19:41:53.232Z""}"
3GHKN56ERGrgdxG4y,1,High,Low,High,Mixed,Low,7,471.0,180.0,2.6166666666666667,777.0,97.0,8.010309278350515,"{""text"":""wow you guys are fast!"",""playerId"":""r3CLygPJaKkDvyoEk"",""at"":""2021-03-10T18:15:56.407Z""},{""text"":""yea i cant get a chance to move any of them with how fast you all are going"",""playerId"":""7FGgMg6agZP5N3767"",""at"":""2021-03-10T18:16:17.766Z""},{""text"":""I know right!"",""playerId"":""r3CLygPJaKkDvyoEk"",""at"":""2021-03-10T18:17:26.388Z""},{""text"":""IT WORKED BEFORE"",""playerId"":""y587sfiKM2KCgzRRW"",""at"":""2021-03-10T18:17:27.937Z""},{""text"":""WHY DID EVERYONE MOVE EVERYTHING"",""playerId"":""y587sfiKM2KCgzRRW"",""at"":""2021-03-10T18:17:33.843Z""}","{""text"":""great job guys"",""playerId"":""y587sfiKM2KCgzRRW"",""at"":""2021-03-10T18:19:56.987Z""}"
AsEcMzyehsmuQspZo,1,Mixed,Low,High,Low,Low,3,492.0,182.0,2.7032967032967035,709.0,192.0,3.6927083333333335,,
EAT5huLHGhHMqrwkH,1,High,Low,High,High,Low,1,596.0,71.0,8.394366197183098,789.0,113.0,6.982300884955753,,
WCgKHreZdSG6H8PaW,1,High,Low,High,High,Low,1,652.0,249.0,2.6184738955823295,854.0,490.0,1.7428571428571429,,
BEY4ikSKrGtcaT8vb,1,High,High,High,Low,Low,5,525.0,218.0,2.408256880733945,735.0,150.0,4.9,"{""text"":""Yellow, Green? Are your answers good?"",""playerId"":""YhLjZN6RkXhbaFLqy"",""at"":""2021-03-10T18:27:59.844Z""}",
dbqX58FcojeTTeMXe,1,Low,High,High,High,Low,3,525.0,61.0,8.60655737704918,803.0,84.0,9.55952380952381,,
kySX6MHndg67cD3Li,1,Low,Mixed,Low,Mixed,High,7,648.0,525.0,1.2342857142857142,810.0,126.0,6.428571428571429,"{""text"":""Ok.  Should we start by placing each in their best room?"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:10:49.630Z""},{""text"":""So, A would be in 103"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:10:56.679Z""},{""text"":""My mistake, 105"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:11:03.026Z""},{""text"":""b shoul dbe in 101"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:12:06.518Z""},{""text"":""a shpuld be in 102"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:12:20.806Z""},{""text"":""c & d in 103 maximizes"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:13:02.289Z""},{""text"":""we had a score of 600+"",""playerId"":""WBD8j64fntbaWjGs8"",""at"":""2021-03-10T18:13:35.295Z""},{""text"":""d is highest in 104"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:13:43.420Z""},{""text"":""too many cooks in the kitchen, so I'm just going to click satisfied no matter what"",""playerId"":""tMHgF4d5LYRtXsNKk"",""at"":""2021-03-10T18:13:50.516Z""},{""text"":""didn't we have it right?"",""playerId"":""Pgg9C8CBpTHzs5egf"",""at"":""2021-03-10T18:13:52.716Z""},{""text"":""a & b should switch"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:14:02.159Z""},{""text"":""why, purple?"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:14:14.005Z""},{""text"":""yes we had over 600 at one point"",""playerId"":""Hau3ksskRfQdr5v5Z"",""at"":""2021-03-10T18:14:15.161Z""},{""text"":""yes"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:14:21.927Z""},{""text"":""i thought we were good"",""playerId"":""Pgg9C8CBpTHzs5egf"",""at"":""2021-03-10T18:14:23.818Z""},{""text"":""we had over 600 adn turqoise moved it around"",""playerId"":""WBD8j64fntbaWjGs8"",""at"":""2021-03-10T18:14:29.268Z""},{""text"":""the goal is to maximize points"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:14:36.932Z""},{""text"":""f should be in 104"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:15:29.206Z""},{""text"":""As mentioned, C&D would ideally be in 103"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:15:30.022Z""},{""text"":""our score is going down"",""playerId"":""Pgg9C8CBpTHzs5egf"",""at"":""2021-03-10T18:15:31.791Z""},{""text"":""i'm watchimg the numbers and checking the violations"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:15:41.473Z""},{""text"":""i'm good with numbers"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:15:47.661Z""},{""text"":""thats how i make a living"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:15:53.096Z""},{""text"":""okay purple show us the way!"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:16:19.735Z""},{""text"":""get us back to 600 then if thats the case. its possible as we already had that"",""playerId"":""WBD8j64fntbaWjGs8"",""at"":""2021-03-10T18:16:24.308Z""},{""text"":""please move b to 101 abd leave it there"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:16:28.243Z""},{""text"":""We may need to just settle on something that meets constraints soon"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:18:15.323Z""},{""text"":""It's tough because we all have to move them to show we are working on it"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:19:01.339Z""},{""text"":""stop"",""playerId"":""Hau3ksskRfQdr5v5Z"",""at"":""2021-03-10T18:19:09.032Z""},{""text"":""Hey, that is good there"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:19:14.176Z""}","{""text"":""This should be interesting"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:19:30.519Z""},{""text"":""why don't we each work on specific letters?"",""playerId"":""h2jByMazWeZXyzJB3"",""at"":""2021-03-10T18:19:49.528Z""},{""text"":""So, B/H N/R, and M/O must be in the same room"",""playerId"":""GaCyLACZvdGS8BC8g"",""at"":""2021-03-10T18:19:57.054Z""},{""text"":""everyone satisfied?"",""playerId"":""yJeJFYJE9E2AWjaA8"",""at"":""2021-03-10T18:21:19.972Z""}"
zdBGjnPDQBJoyZqjh,1,Mixed,Mixed,Low,Low,High,7,627.0,103.0,6.087378640776699,806.0,144.0,5.597222222222222,"{""text"":""I am good with this"",""playerId"":""f8YbmuHe5agpk96tm"",""at"":""2021-03-10T18:12:55.156Z""},{""text"":""me too"",""playerId"":""5h3gBkqM3D2S47o6o"",""at"":""2021-03-10T18:13:07.529Z""},{""text"":""looks good"",""playerId"":""i28ZS3FP54Z5QTyj4"",""at"":""2021-03-10T18:13:08.472Z""}","{""text"":""Jesus that's a lot of rules"",""playerId"":""ZTy5xumEN2tbHp2pQ"",""at"":""2021-03-10T18:13:22.356Z""},{""text"":""quicker than I thought"",""playerId"":""f8YbmuHe5agpk96tm"",""at"":""2021-03-10T18:15:38.534Z""}"
