,Composition Only,Composition + Task Map,Composition + Task Map + Complexity,Composition + Task Map + Complexity + Communication
30,0.06610764639359212,0.08698537164845854,0.08877254639916976,0.07687379710345066
31,0.050189981570774034,0.055091429078004794,0.05579966918994261,0.03293110291849466
32,0.05548539116517193,0.05817513002000252,0.05845411346947471,0.05878659903880268
33,0.06268702030327389,0.11751731624217876,0.11739431890647556,0.1002239517242336
34,0.12318211384341149,0.2711228794971604,0.2880842867594269,0.27684477419274456
35,0.12094782245149704,0.18579090841211043,0.18531213677291158,0.17256029746305823
36,0.09510814051321892,0.1982457077943387,0.19904632418003487,0.1929145295320711
37,0.11678319919639502,0.2264771119704967,0.22527533528459065,0.22081076759275786
38,0.11471506990533753,0.24875013814069158,0.246855908787035,0.23561582733902076
39,0.05376888436105742,0.055956347252415606,0.05626558139229165,0.0632079130459009
40,0.10193620242723678,0.19520613277913956,0.20003507628119999,0.20565386130827412
41,0.05019209904146904,0.05227470517373278,0.05228353402286012,0.04473342664697366
42,0.0987333892067711,0.21691432015333556,0.2266637250104755,0.2109690132208646
43,0.17046706484513363,0.28286939071167716,0.2876382456937918,0.2804405920665548
44,0.09612679097342414,0.19371252545334972,0.19735024448611527,0.18664564576170017
45,0.12125899677518992,0.2339819274430469,0.23550338016684447,0.2193850613775038
46,0.05309860083967999,0.06597320157480668,0.06650977861202434,0.055195234599766496
47,0.11466680965984555,0.20080261486396322,0.1974491244218366,0.19149275523133225
48,0.10718498629177353,0.20484252700699668,0.21274878062642677,0.20551674047049429
49,0.1703548052816426,0.26914642611125217,0.2763234304267522,0.2629372444931125
50,0.05422983067146048,0.057633841495997484,0.057723108199494555,0.054298202326770184
51,0.04370929144807356,0.0466602445607438,0.04658893404083142,0.047794383221474446
52,0.15633946392486753,0.23215360789171657,0.26455335581961037,0.26533438026837497
53,0.052778497430620575,0.05421488619070325,0.054581755995814385,0.053246238357509745
54,0.044746871991048764,0.04613992795516375,0.046406112571853786,0.04095626846993483
55,0.06837887449974156,0.07427673378341204,0.07596213729001322,0.06349442901286872
56,0.15401319673675096,0.2861619038121661,0.28478622036584167,0.2765238477027778
57,0.07597347510683694,0.13574064192190938,0.14263513913097836,0.126630345957493
58,0.09569414833126999,0.15740346263740534,0.16109606103625151,0.15531534720132456
59,0.04697069022347389,0.048662067517697194,0.0489539563768806,0.044339378910476235
60,0.034820951541537526,0.036076791341981274,0.03632418726305775,0.025071429522319666
61,0.10678247847578692,0.22180212058845816,0.23292577140594817,0.22481832340327423
62,0.06878374879728466,0.07245232622642495,0.07321422786560594,0.062029066781076114
63,0.1052787680910785,0.19882703229470433,0.2022472187091796,0.1927835420328694
64,0.053194446186707656,0.12186863672803983,0.12618440720023116,0.11091145271194447
65,0.10518630629624215,0.24933130382268853,0.25798731219278437,0.24849388287730734
66,0.1556275695490641,0.2405588135019856,0.24249977195340655,0.23976602855403994
67,0.012612289735037474,0.014826364726129526,0.01472692648121543,0.00376395084427128
68,0.08342484666226657,0.0845790503303262,0.08536081603180723,0.08487258111963081
69,0.054891562949826556,0.05664099306737225,0.05685348155020631,0.053267862665553944
70,0.11527448000470375,0.20856384694989738,0.21728437440995363,0.20210291775346345
71,0.059388781509095545,0.06868354677954402,0.07123804148881929,0.06456038899166361
72,0.08469150365211975,0.1993310510991877,0.19854549023080903,0.1875580088118527
73,0.16556566991451116,0.2885532479190118,0.2953816435701998,0.2829082692322157
74,0.021709554710720336,0.0246875031803383,0.024888890372361527,0.018814271110630165
75,0.051596323203248806,0.055432810127054366,0.05589314767949305,0.05307155665007435
76,0.07783539035725828,0.2323551252958218,0.23961157519534926,0.21892336688064995
77,0.10717458562678228,0.2229250742013491,0.2201941792747949,0.2039875064491723
78,0.05058359219804209,0.05595265866512189,0.05839963741489229,0.05234354541488995
79,0.04513257271452131,0.05085883312823891,0.05186831146397419,0.039452985248633055
80,0.09109450330179081,0.2313321079363706,0.23539983435815615,0.22273212164342993
81,0.08683936150594584,0.2794370585547087,0.2906375829037824,0.2788199662623293
82,0.12851088327873994,0.216194640637697,0.2190276404908601,0.2229502459047138
83,0.08106583192875305,0.11146487824546691,0.11336655965256026,0.10693860684730816
84,0.0735347325716087,0.07625327343183164,0.07744575653651098,0.06926239141698898
85,0.16763534725042095,0.2550075034765885,0.2552683944765076,0.2476810604608195
86,0.13257624500180398,0.211844312137763,0.2279552707764284,0.21577908343518015
87,0.1284082664274584,0.23529223425060175,0.2417890834954186,0.23910924525966604
88,0.12321491003000529,0.233196300799539,0.23014196906373696,0.21692946783701805
89,0.09006936241798058,0.09198044742090916,0.09254953201437122,0.08465582751776846
90,0.0879610587068339,0.16513943197835423,0.1695316860318944,0.1514124257522399
91,0.13519258865043837,0.25049888008649057,0.2621664284475739,0.25385128820734404
92,0.04148348385143752,0.04436480489305672,0.0448764207382879,0.03961423877944248
93,0.11328391506157409,0.20658466967542344,0.20665664564430408,0.19858282673283034
94,0.11839488845093293,0.21319514267841955,0.21575949269446093,0.20581435544153237
95,0.09838120185322552,0.2250007403022194,0.22922594159875298,0.22423114153796364
96,0.055616173202763575,0.056501080051375774,0.056612743457281955,0.045921671019933386
97,0.031297737605935017,0.03244153503798586,0.033003105583448544,0.022084847209043357
98,0.16904990723810054,0.27307186285902374,0.2751284601190137,0.26583621062365737
99,0.10519606038471851,0.22820010112249967,0.23113536281025593,0.2241455636129367
