conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies,average_hear,average_home,average_conjunction,average_certainty,average_inclusive,average_bio,average_achievement,average_adverbs,average_anxiety,average_third_person,average_negation,average_swear,average_death,average_health,average_see,average_body,average_family,average_negative_affect,average_quantifier,average_positive_affect,average_insight,average_humans,average_present_tense,average_future_tense,average_past_tense,average_relative,average_sexual,average_inhibition,average_sadness,average_social,average_indefinite_pronoun,average_religion,average_work,average_money,average_causation,average_anger,average_first_person_singular,average_feel,average_tentativeness,average_exclusive,average_verbs,average_friends,average_article,average_argue,average_auxiliary_verbs,average_cognitive_mech,average_preposition,average_first_person_plural,average_percept,average_second_person,average_positive_words,average_first_person,average_nltk_english_stopwords,average_hedge_words,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_(btw),average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl.,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_(greeting),average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,sum_num_words,sum_num_chars,sum_num_messages,sum_function_word_accommodation,user_list
ov73kDDQc2TyPbHrZ_hard,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
Tovcajhy8Qoo3sRZN_hard,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
eaYR3ZmJ49SwrAxRB_hard,xEHaxYhm4whKst5Zt,0.0421024475,0.08703681049999999,0.87086077,9.0,44.0,1.0,0.9693993594102592,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.004999999999999999,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.02,0.0,0.0,0.009999999999999998,0.0,0.005,0.0,0.004999999999999999,0.005,0.0,0.0,0.0,0.004999999999999999,0.0,0.005,0.01,0.0,0.0,0.02,0.0,0.004999999999999999,0.005,0.009999999999999998,0.025,0.0,0.004999999999999999,0.01,0.0,0.004999999999999999,0.009999999999999998,0.034999999999999996,0.0,0.0,0.0,0.95,0.1125,0.0,0.0,0.0,0.14444444444444446,-0.06666666666666667,-0.9904272244303873,-1.1102230246251565e-16,0.4464,10.58,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,88,2,0,[]
gseBSsR9kL7apWJvc_hard,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
shquXx4Zw3X4tFMYC_hard,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
5SWJCy4fnKtYwkSBi_hard,mJqcW8StBbcTqxS42,0.26426189,0.06798209250000001,0.6677560250000001,4.0,19.5,1.0,-0.058764966907992766,0.25958706582558244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.009999999999999998,0.0,0.0,0.004999999999999999,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.009999999999999998,0.0,0.0,0.004999999999999999,0.004999999999999999,0.009999999999999998,0.004999999999999999,0.0,0.0,0.0,0.004999999999999999,0.0,0.015,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25242892378141785,0.018318551254437904,0.1984,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8,39,2,0,"['ymGgYBcsTP8o6nfgN' 'cqpDuJnio5ZA8m9mb' '5WENPPvPh2ShbGhMN'
 'fFWYEZXzPpucSsYYy']"
5SWJCy4fnKtYwkSBi_hard,ymGgYBcsTP8o6nfgN,0.2826928749090909,0.20399711804545453,0.5133100090909091,3.4545454545454546,15.727272727272727,1.0,-0.2924386774348682,-0.1651917691617344,0.0009090909090909091,0.0,0.0,0.0009090909090909091,0.0,0.001818181818181818,0.0,0.002727272727272727,0.001818181818181818,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.002727272727272727,0.0,0.0,0.0,0.0009090909090909091,0.004545454545454546,0.0009090909090909091,0.0,0.007272727272727273,0.0,0.0009090909090909091,0.0036363636363636364,0.0,0.0,0.0,0.0036363636363636364,0.0018181818181818182,0.0,0.000909090909090909,0.0009090909090909091,0.0,0.0,0.0018181818181818182,0.0018181818181818182,0.001818181818181818,0.0009090909090909091,0.00818181818181818,0.0,0.001818181818181818,0.0018181818181818182,0.003636363636363636,0.005454545454545454,0.0018181818181818182,0.002727272727272727,0.003636363636363636,0.0009090909090909091,0.003636363636363636,0.004545454545454546,0.01636363636363636,0.000909090909090909,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.09090909090909091,0.309469696969697,0.10643939393939394,-0.19120246683171657,0.09301916873773446,0.17134545454545455,9.409090909090908,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,38,173,11,0,"['mJqcW8StBbcTqxS42' 'cqpDuJnio5ZA8m9mb' '5WENPPvPh2ShbGhMN'
 'fFWYEZXzPpucSsYYy']"
5SWJCy4fnKtYwkSBi_hard,cqpDuJnio5ZA8m9mb,0.6905611,0.0635439,0.24589492,1.0,5.0,1.0,-0.8298882116466817,-1.142183089632563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.8,1.163707563633463,1.7461054479782459,0.0496,3.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5,1,0,"['mJqcW8StBbcTqxS42' 'ymGgYBcsTP8o6nfgN' '5WENPPvPh2ShbGhMN'
 'fFWYEZXzPpucSsYYy']"
5SWJCy4fnKtYwkSBi_hard,5WENPPvPh2ShbGhMN,0.08512642233333334,0.49847442999999997,0.41639913666666667,5.333333333333333,24.666666666666668,1.0,0.19827611467157022,0.7268437843116309,0.0,0.0,0.0,0.0,0.0,0.0033333333333333327,0.0,0.0,0.0033333333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666665,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0033333333333333327,0.0,0.0033333333333333327,0.006666666666666667,0.0,0.0033333333333333335,0.0033333333333333335,0.006666666666666665,0.0033333333333333327,0.0,0.0,0.0,0.0,0.0,0.0033333333333333327,0.0,0.0,0.0,0.006666666666666665,0.0,0.0033333333333333335,0.0,0.006666666666666665,0.006666666666666665,0.0,0.0033333333333333327,0.006666666666666665,0.0033333333333333335,0.0,0.006666666666666665,0.02333333333333333,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,-0.847504556112276,-0.7077159018071993,0.26453333333333334,9.639666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,74,3,0,"['mJqcW8StBbcTqxS42' 'ymGgYBcsTP8o6nfgN' 'cqpDuJnio5ZA8m9mb'
 'fFWYEZXzPpucSsYYy']"
5SWJCy4fnKtYwkSBi_hard,fFWYEZXzPpucSsYYy,0.09127255,0.03020693,0.8785205,4.0,17.0,1.0,-0.058764966907992766,0.25958706582558244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8270875451469571,-0.6828057011806057,0.1984,8.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,17,1,0,"['mJqcW8StBbcTqxS42' 'ymGgYBcsTP8o6nfgN' 'cqpDuJnio5ZA8m9mb'
 '5WENPPvPh2ShbGhMN']"
KvCssacg6XeadDmpv_hard,uo4hw3EyzgoW6T4ED,0.10184394,0.112078644,0.78607744,6.0,35.0,1.0,0.4553171962511332,,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.009999999999999998,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7919701188170027,,6.565766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,35,1,0,[]
Aifx3qs7Nc9AFHb43_hard,NULL_SPEAKER,0.22552355,0.09361122,0.6808652,1.0,3.0,1.0,-0.8298882116466817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811150096315028,,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,[]
