conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
pJHpw7o6SwFmv4bf7,nWgLi2fhS7BXYmN4h,21,101,4,0,"['LQyH75jGgRf5YxMBR' '9xfgh5uspoq4Yw7qD' 'eyguSCbmu97YYyvuc'
 'GZFuTa5qZrQD5xCg3' 'Yev6Wh83zFKbqJXQz']"
pJHpw7o6SwFmv4bf7,9xfgh5uspoq4Yw7qD,10,46,4,0,"['LQyH75jGgRf5YxMBR' 'nWgLi2fhS7BXYmN4h' 'eyguSCbmu97YYyvuc'
 'GZFuTa5qZrQD5xCg3' 'Yev6Wh83zFKbqJXQz']"
pJHpw7o6SwFmv4bf7,eyguSCbmu97YYyvuc,3,12,1,0,"['LQyH75jGgRf5YxMBR' 'nWgLi2fhS7BXYmN4h' '9xfgh5uspoq4Yw7qD'
 'GZFuTa5qZrQD5xCg3' 'Yev6Wh83zFKbqJXQz']"
pJHpw7o6SwFmv4bf7,GZFuTa5qZrQD5xCg3,5,16,1,0,"['LQyH75jGgRf5YxMBR' 'nWgLi2fhS7BXYmN4h' '9xfgh5uspoq4Yw7qD'
 'eyguSCbmu97YYyvuc' 'Yev6Wh83zFKbqJXQz']"
pJHpw7o6SwFmv4bf7,Yev6Wh83zFKbqJXQz,1,4,1,0,"['LQyH75jGgRf5YxMBR' 'nWgLi2fhS7BXYmN4h' '9xfgh5uspoq4Yw7qD'
 'eyguSCbmu97YYyvuc' 'GZFuTa5qZrQD5xCg3']"
QCLXcuNXSjh6zZpfH,NULL_SPEAKER,1,3,1,0,[]
ys32XECpthALfJAcD,NULL_SPEAKER,1,3,1,0,[]
FD48fm6SZsCizTXQJ,NULL_SPEAKER,1,3,1,0,[]
wTHRsYePzwGZHbNGR,NULL_SPEAKER,1,3,1,0,[]
mRCgZxrXHKaMoPZYN,NULL_SPEAKER,1,3,1,0,[]
975P7WxadMhR5qDjR,NULL_SPEAKER,1,3,1,0,[]
GJaSrPjhFgEFTfEzX,NULL_SPEAKER,1,3,1,0,[]
7m3H6eRNZeSQraH9K,NULL_SPEAKER,1,3,1,0,[]
ZABxxPpcHSoQfawnc,NULL_SPEAKER,1,3,1,0,[]
N5tPLcN3omw5zbX7y,NULL_SPEAKER,1,3,1,0,[]
SW6Aryz7K3zTd4pBB,NULL_SPEAKER,1,3,1,0,[]
jY3MD8mq5LigRqzX9,NULL_SPEAKER,1,3,1,0,[]
