conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
Xj23vq8AcrGL4Smve,,1,High,Mixed,Mixed,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],566.0,118.0,4.796610169491525,NULL_TIME
kzEFsxhdRDZCiRMdR,0.8456493155219817,1,High,High,High,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],542.0,92.0,5.891304347826087,2021-03-11T18:08:38.687Z
Wd2End5mbydGHNikn,0.5144570646107379,1,High,Low,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],585.0,368.0,1.5896739130434785,2021-03-11T18:24:13.055Z
oE8in22JbjJ75buZH,,1,High,Low,High,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],526.0,112.0,4.696428571428571,NULL_TIME
e7GqNp7dpqqcWCCwd,0.8976317140801167,1,Mixed,Mixed,Mixed,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],534.0,136.0,3.926470588235294,2021-03-11T18:54:25.194Z
x5hxK8Fra4P5GT8zd,,1,High,High,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],497.0,144.0,3.451388888888889,NULL_TIME
sL84jZ9hvvKRzPBqt,,1,High,Mixed,Low,Low,High,8,Easy [Corresponds to 'Hard' in PNAS],584.0,156.0,3.743589743589744,NULL_TIME
m4fX6PazypMky9JZG,0.5487116348657597,1,High,Mixed,High,Mixed,High,8,Easy [Corresponds to 'Hard' in PNAS],607.0,170.0,3.570588235294118,2021-03-11T18:10:39.630Z
TsT8kAKbpHz3KPnLR,0.8190447585001411,1,High,Mixed,Mixed,Mixed,High,8,Easy [Corresponds to 'Hard' in PNAS],562.0,51.0,11.019607843137257,NULL_TIME
zwtfREfmLE7LzyW7n,0.7497040038726228,1,High,Mixed,Mixed,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],537.0,294.0,1.8265306122448977,2021-03-11T18:31:05.581Z
eGzp3uXThKsRFL5CT,0.6605768153669326,1,Low,High,Low,Mixed,Mixed,3,Easy [Corresponds to 'Hard' in PNAS],484.0,68.0,7.117647058823529,2021-03-11T18:03:58.015Z
Zi7BRkbuXiosC4DSo,0.9029064089910376,1,Mixed,Mixed,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],650.0,223.0,2.914798206278027,NULL_TIME
iJCFqZH2gH2LNMony,0.8721783236016113,1,Mixed,Mixed,Mixed,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],467.0,56.0,8.339285714285714,NULL_TIME
gPWa8EaZ5FHt4jhY7,,1,Low,High,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],646.0,127.0,5.086614173228346,NULL_TIME
uJ4Mkjwata78GHDWD,0.6623986159817279,1,Mixed,Mixed,Low,Low,High,6,Easy [Corresponds to 'Hard' in PNAS],502.0,39.0,12.871794871794872,NULL_TIME
fB27i4rRyzrByr3b5,0.3825898860609826,1,Low,High,Low,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],521.0,374.0,1.393048128342246,2021-03-11T18:16:12.483Z
PBmxJ8rnpfjTG7YAY,0.5427062531568013,1,Low,High,Low,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],576.0,600.0,0.96,2021-03-11T18:36:11.696Z
DDYMMpRHgQG4z4ZxL,,1,Low,Low,Mixed,Low,Low,3,Easy [Corresponds to 'Hard' in PNAS],570.0,359.0,1.5877437325905293,NULL_TIME
sL7K7kP6ZTCArbbRt,,1,Low,Mixed,Mixed,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],510.0,128.0,3.984375,NULL_TIME
YAktNaLg5seMJvJds,,1,Low,Low,Low,Low,Low,1,Easy [Corresponds to 'Hard' in PNAS],626.0,119.0,5.260504201680672,NULL_TIME
pzDJKcAE4jhvf5Le7,0.8721700604946623,1,High,High,High,High,High,3,Easy [Corresponds to 'Hard' in PNAS],562.0,102.0,5.509803921568627,NULL_TIME
HKGdBsfGWgfdGF9jt,0.8103344294783117,1,High,High,High,High,Mixed,3,Easy [Corresponds to 'Hard' in PNAS],497.0,50.0,9.94,NULL_TIME
WbRPaXuXpdH3ThqXi,,1,High,High,High,Mixed,High,3,Easy [Corresponds to 'Hard' in PNAS],550.0,120.0,4.583333333333333,NULL_TIME
5PsJ2243LJENwabYa,,1,Low,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],540.0,141.0,3.8297872340425534,NULL_TIME
vsuxAJLR4oAb2erci,,1,Mixed,Mixed,High,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],490.0,201.0,2.437810945273632,NULL_TIME
89AgaPBnHJzXXhASG,0.8561590237787225,1,Mixed,High,High,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],561.0,85.0,6.6,2021-03-11T18:10:50.229Z
ZQS3Ti3pCd2CiCxrY,,1,Mixed,High,High,Mixed,High,6,Easy [Corresponds to 'Hard' in PNAS],552.0,132.0,4.181818181818182,NULL_TIME
heT4MaHQSoBtokK8t,0.7186386362836913,1,High,High,High,Low,Mixed,3,Easy [Corresponds to 'Hard' in PNAS],628.0,549.0,1.1438979963570128,2021-03-11T18:43:59.244Z
Lj5ytcQWbcsGkQmhB,,1,Mixed,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],584.0,146.0,4.0,NULL_TIME
nmySCvMumnBackvKk,,1,High,Mixed,Low,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],523.0,112.0,4.669642857142857,NULL_TIME
JNQETsztigJz9Rmoc,,1,Mixed,High,Low,High,High,2,Easy [Corresponds to 'Hard' in PNAS],559.0,93.0,6.010752688172043,NULL_TIME
