conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
792,f2xN8dMx4qQhsx7za,54,213,11,4,['7k2kKAP9CK6qn7ZDQ' 'T9AghEChfZqaqYQ6S']
792,T9AghEChfZqaqYQ6S,134,595,28,5,['7k2kKAP9CK6qn7ZDQ' 'f2xN8dMx4qQhsx7za']
309,i5S8cqqrTgoFGg8i5,4,17,1,0,[]
306,NULL_SPEAKER,1,3,1,0,[]
308,NULL_SPEAKER,1,3,1,0,[]
305,i5S8cqqrTgoFGg8i5,25,107,5,1,['2hJSty85zBX83Fchg' 'G3dCAvYeh2Qn29tiJ']
305,2hJSty85zBX83Fchg,18,84,3,0,['i5S8cqqrTgoFGg8i5' 'G3dCAvYeh2Qn29tiJ']
305,G3dCAvYeh2Qn29tiJ,1,4,1,0,['i5S8cqqrTgoFGg8i5' '2hJSty85zBX83Fchg']
307,NULL_SPEAKER,1,3,1,0,[]
65,czzoiA98mw2qyHy38,33,129,8,0,['jFvrYrSkwFAhvBqzn' '58xrxQwvxFyCehPYR']
65,jFvrYrSkwFAhvBqzn,10,50,3,0,['czzoiA98mw2qyHy38' '58xrxQwvxFyCehPYR']
65,58xrxQwvxFyCehPYR,2,7,1,0,['czzoiA98mw2qyHy38' 'jFvrYrSkwFAhvBqzn']
69,czzoiA98mw2qyHy38,2,9,1,0,['58xrxQwvxFyCehPYR']
69,58xrxQwvxFyCehPYR,1,3,1,0,['czzoiA98mw2qyHy38']
67,58xrxQwvxFyCehPYR,2,10,2,0,['czzoiA98mw2qyHy38']
67,czzoiA98mw2qyHy38,20,96,5,0,['58xrxQwvxFyCehPYR']
66,czzoiA98mw2qyHy38,40,168,12,1,['58xrxQwvxFyCehPYR' 'jFvrYrSkwFAhvBqzn']
66,58xrxQwvxFyCehPYR,6,21,1,0,['czzoiA98mw2qyHy38' 'jFvrYrSkwFAhvBqzn']
66,jFvrYrSkwFAhvBqzn,2,7,1,0,['czzoiA98mw2qyHy38' '58xrxQwvxFyCehPYR']
68,czzoiA98mw2qyHy38,27,114,8,0,['58xrxQwvxFyCehPYR' 'jFvrYrSkwFAhvBqzn']
68,58xrxQwvxFyCehPYR,2,10,2,0,['czzoiA98mw2qyHy38' 'jFvrYrSkwFAhvBqzn']
68,jFvrYrSkwFAhvBqzn,2,13,1,0,['czzoiA98mw2qyHy38' '58xrxQwvxFyCehPYR']
796,NULL_SPEAKER,1,3,1,0,[]
795,NULL_SPEAKER,1,3,1,0,[]
797,NULL_SPEAKER,1,3,1,0,[]
798,NULL_SPEAKER,1,3,1,0,[]
799,NULL_SPEAKER,1,3,1,0,[]
137,cHDCf2yYvdBvwcuho,1,4,1,0,['6WCWojRgYhLMaTBMJ']
137,6WCWojRgYhLMaTBMJ,1,3,1,0,['cHDCf2yYvdBvwcuho']
139,cHDCf2yYvdBvwcuho,5,22,2,0,['HnQwefu8jf8yv9Q3W' '6WCWojRgYhLMaTBMJ']
139,HnQwefu8jf8yv9Q3W,3,14,1,0,['cHDCf2yYvdBvwcuho' '6WCWojRgYhLMaTBMJ']
139,6WCWojRgYhLMaTBMJ,11,45,1,0,['cHDCf2yYvdBvwcuho' 'HnQwefu8jf8yv9Q3W']
138,cHDCf2yYvdBvwcuho,6,27,1,0,['6WCWojRgYhLMaTBMJ']
138,6WCWojRgYhLMaTBMJ,1,4,1,0,['cHDCf2yYvdBvwcuho']
135,HnQwefu8jf8yv9Q3W,12,45,5,0,['cHDCf2yYvdBvwcuho' '6WCWojRgYhLMaTBMJ']
135,cHDCf2yYvdBvwcuho,26,111,6,0,['HnQwefu8jf8yv9Q3W' '6WCWojRgYhLMaTBMJ']
135,6WCWojRgYhLMaTBMJ,1,5,1,0,['HnQwefu8jf8yv9Q3W' 'cHDCf2yYvdBvwcuho']
136,cHDCf2yYvdBvwcuho,1,2,1,0,[]
93,CijQNxpGvYhtcB29w,5,25,1,0,['RPbqThjRS6D5Hio6E']
93,RPbqThjRS6D5Hio6E,4,16,1,0,['CijQNxpGvYhtcB29w']
92,FLBZoXXiPXRs9cfoP,13,60,3,0,['CijQNxpGvYhtcB29w' 'RPbqThjRS6D5Hio6E']
92,CijQNxpGvYhtcB29w,5,25,2,0,['FLBZoXXiPXRs9cfoP' 'RPbqThjRS6D5Hio6E']
92,RPbqThjRS6D5Hio6E,5,20,2,0,['FLBZoXXiPXRs9cfoP' 'CijQNxpGvYhtcB29w']
91,FLBZoXXiPXRs9cfoP,1,5,1,0,['CijQNxpGvYhtcB29w' 'RPbqThjRS6D5Hio6E']
91,CijQNxpGvYhtcB29w,14,64,4,1,['FLBZoXXiPXRs9cfoP' 'RPbqThjRS6D5Hio6E']
91,RPbqThjRS6D5Hio6E,3,15,1,0,['FLBZoXXiPXRs9cfoP' 'CijQNxpGvYhtcB29w']
94,CijQNxpGvYhtcB29w,4,15,1,0,['RPbqThjRS6D5Hio6E' 'FLBZoXXiPXRs9cfoP']
94,RPbqThjRS6D5Hio6E,4,14,1,0,['CijQNxpGvYhtcB29w' 'FLBZoXXiPXRs9cfoP']
94,FLBZoXXiPXRs9cfoP,4,15,1,0,['CijQNxpGvYhtcB29w' 'RPbqThjRS6D5Hio6E']
90,CijQNxpGvYhtcB29w,15,70,4,2,['FLBZoXXiPXRs9cfoP' 'RPbqThjRS6D5Hio6E']
90,FLBZoXXiPXRs9cfoP,7,36,1,0,['CijQNxpGvYhtcB29w' 'RPbqThjRS6D5Hio6E']
90,RPbqThjRS6D5Hio6E,6,31,2,0,['CijQNxpGvYhtcB29w' 'FLBZoXXiPXRs9cfoP']
957,PQ6ydnNWrNZicav2P,22,104,2,0,['Bxh5nCs5jDfzakCoA' 'Z743uiwASCN2YbFg3']
957,Bxh5nCs5jDfzakCoA,9,42,1,0,['PQ6ydnNWrNZicav2P' 'Z743uiwASCN2YbFg3']
957,Z743uiwASCN2YbFg3,30,152,2,3,['PQ6ydnNWrNZicav2P' 'Bxh5nCs5jDfzakCoA']
955,NULL_SPEAKER,1,3,1,0,[]
959,NULL_SPEAKER,1,3,1,0,[]
958,NULL_SPEAKER,1,3,1,0,[]
956,NULL_SPEAKER,1,3,1,0,[]
680,CT7JecyYmKWTCDe3C,14,73,2,0,['3FBZ6XLrcpW3gPL4h' '5NwxkftcLHENojuxN']
680,3FBZ6XLrcpW3gPL4h,18,92,4,0,['CT7JecyYmKWTCDe3C' '5NwxkftcLHENojuxN']
680,5NwxkftcLHENojuxN,8,29,2,0,['CT7JecyYmKWTCDe3C' '3FBZ6XLrcpW3gPL4h']
683,NULL_SPEAKER,1,3,1,0,[]
682,5NwxkftcLHENojuxN,21,98,6,0,['3FBZ6XLrcpW3gPL4h' 'CT7JecyYmKWTCDe3C']
682,3FBZ6XLrcpW3gPL4h,33,141,8,4,['5NwxkftcLHENojuxN' 'CT7JecyYmKWTCDe3C']
682,CT7JecyYmKWTCDe3C,30,119,5,1,['5NwxkftcLHENojuxN' '3FBZ6XLrcpW3gPL4h']
684,3FBZ6XLrcpW3gPL4h,7,37,1,0,['5NwxkftcLHENojuxN' 'CT7JecyYmKWTCDe3C']
684,5NwxkftcLHENojuxN,4,17,1,0,['3FBZ6XLrcpW3gPL4h' 'CT7JecyYmKWTCDe3C']
684,CT7JecyYmKWTCDe3C,8,33,1,0,['3FBZ6XLrcpW3gPL4h' '5NwxkftcLHENojuxN']
681,5NwxkftcLHENojuxN,12,63,1,0,['CT7JecyYmKWTCDe3C' '3FBZ6XLrcpW3gPL4h']
681,CT7JecyYmKWTCDe3C,8,33,2,0,['5NwxkftcLHENojuxN' '3FBZ6XLrcpW3gPL4h']
681,3FBZ6XLrcpW3gPL4h,2,10,1,0,['5NwxkftcLHENojuxN' 'CT7JecyYmKWTCDe3C']
707,NULL_SPEAKER,1,3,1,0,[]
709,NULL_SPEAKER,1,3,1,0,[]
706,NULL_SPEAKER,1,3,1,0,[]
705,NULL_SPEAKER,1,3,1,0,[]
708,DBbNoafgej8ENdanZ,10,39,3,0,['FnwrJbQuHuN9sDyHd' 'Ebj4oRmRXshJGwXsq']
708,FnwrJbQuHuN9sDyHd,4,17,2,0,['DBbNoafgej8ENdanZ' 'Ebj4oRmRXshJGwXsq']
708,Ebj4oRmRXshJGwXsq,5,23,1,0,['DBbNoafgej8ENdanZ' 'FnwrJbQuHuN9sDyHd']
204,k5buwvqPvNdDPRb64,8,43,2,0,['LcunNGpnTqQm6Y776' 'CanqrzZx9foFCbn8n']
204,LcunNGpnTqQm6Y776,2,9,2,0,['k5buwvqPvNdDPRb64' 'CanqrzZx9foFCbn8n']
204,CanqrzZx9foFCbn8n,15,78,1,0,['k5buwvqPvNdDPRb64' 'LcunNGpnTqQm6Y776']
200,k5buwvqPvNdDPRb64,54,219,6,6,['LcunNGpnTqQm6Y776' 'CanqrzZx9foFCbn8n']
200,LcunNGpnTqQm6Y776,15,59,2,0,['k5buwvqPvNdDPRb64' 'CanqrzZx9foFCbn8n']
200,CanqrzZx9foFCbn8n,15,69,2,0,['k5buwvqPvNdDPRb64' 'LcunNGpnTqQm6Y776']
202,CanqrzZx9foFCbn8n,3,16,1,0,['LcunNGpnTqQm6Y776' 'k5buwvqPvNdDPRb64']
202,LcunNGpnTqQm6Y776,9,36,1,0,['CanqrzZx9foFCbn8n' 'k5buwvqPvNdDPRb64']
202,k5buwvqPvNdDPRb64,9,38,1,1,['CanqrzZx9foFCbn8n' 'LcunNGpnTqQm6Y776']
203,LcunNGpnTqQm6Y776,10,44,2,0,['CanqrzZx9foFCbn8n' 'k5buwvqPvNdDPRb64']
